ERNnvp,Pathogen,Group,HighTaxon,LowTaxon,Host,Order,Family,HostStageInfected,HostTissueInfected,Field,Country,IntermediateHost,DateEntered,FlagForDeletion,DateModified,ProvinceA,Test,PathogenValue,BiogeographicRegion
499,Nosema scolyti,Protozoa,Microspora,Microsporea (Microsporida),Scolytus ensifer,Coleoptera,Scolytidae,,Malpighian tubules; intestine; hemocytes,,Poland; USSR; Germany,,,,,,7164,,
500,Nosema scolyti,Protozoa,Microspora,Microsporea (Microsporida),Scolytus scolytus,Coleoptera,Scolytidae,,Malpighian tubules; intestine; hemocytes; midgut,,Poland; USSR; Germany,,,,,,7164,,
501,Nosema serbica,Protozoa,Microspora,Microsporea (Microsporida),Lymantria dispar,Lepidoptera,Lymantriidae,LarvaPupaAdult,Gut; silk glands; fat body; Malpighian tubules; muscle,Field,"Yugoslavia, Bulgaria, Ukraine",,,,,,7164,,Palearctic
502,Nosema sesiae,Protozoa,Microspora,Microsporea (Microsporida),Paranthrene tabaniformis,Lepidoptera,Sesiidae,,,,Germany,,,,,,7164,,
503,Nosema sphaeromiadis,Protozoa,Microspora,Microsporea (Microsporida),Sphaeromias sp.,Diptera,Ceratopogonidae,Larva,fat body,Field,Czechoslovakia,,,,,,7164,,Palearctic
504,Nosema sphingidis,Protozoa,Microspora,Microsporea (Microsporida),Manduca sexta,Lepidoptera,Sphingidae,,Midgut epithelium (posterior portion),,USA,,,,,,7164,,
505,Nosema stegomyiae,Protozoa,Microspora,Microsporea (Microsporida),Aedes aegypti,Diptera,Culicidae,LarvaAdult,Malpighian tubules; ovaries; tracheal epithelium; stomach; esophagus; coelom; muscle (thoracic),Field,"Brazil, Japan",,,,,,7164,,NeotropicalPalearctic
506,Caudospora stricklandi,Protozoa,Microspora,Microsporea (Microsporida),Simulium ornatum,Diptera,Simuliidae,,fat body,,Czechoslovakia,,,,,,7164,,
507,Nosema strictum,Protozoa,Microspora,Microsporea (Microsporida),Nephrotoma pratensis,Diptera,Tipulidae,,,,France,,,,,,7164,,
508,Nosema tatrica,Protozoa,Microspora,Microsporea (Microsporida),Ephemerella ignita,Ephemeroptera,Ephemerellidae,,fat body,,Czechoslovakia,,,,,,7164,,
509,Nosema thomsoni ,Protozoa,Microspora,Microsporea (Microsporida),Choristoneura conflictana,Lepidoptera,Tortricidae,,Malpighian tubules; silk glands; gut,,Canada,,,,,,7164,,
510,Nosema tortricis,Protozoa,Microspora,Microsporea (Microsporida),Tortrix viridana,Lepidoptera,Tortricidae,LarvaPupaAdult,Fat body,Field,"Czechoslovakia; USSR, Germany, Poland",,,,,,7164,,Palearctic
511,Nosema trichoplusiae,Protozoa,Microspora,Microsporea (Microsporida),Trichoplusia ni,Lepidoptera,Noctuidae,,"Midgut, Malpighian tubules, hemocytes",,USA,,,,,,7164,,
512,Nosema typographi,Protozoa,Microspora,Microsporea (Microsporida),Ips typographus,Coleoptera,Scolytidae,,fat body,Field,"Belgium, Germany",,,,,,7164,,Palearctic
513,Nosema vanillae,Protozoa,Microspora,Microsporea (Microsporida),Agraulis vanillae,Lepidoptera,Nymphalidae,Larva,,Field,Brazil,,,,,,7164,,Neotropical
514,Nosema veliae,Protozoa,Microspora,Microsporea (Microsporida),Velia currens,Heteroptera,Veliidae,,Peri-intestinal tissue; fat cells; oenocytes,,France,,,,,,7164,,
515,Nosema weiseri,Protozoa,Microspora,Microsporea (Microsporida),Rhyzopertha dominica,Coleoptera,Bostrychidae,Adult,fat body,Field,"Mexico, Poland",,,,,,7164,,NearcticPalearctic
516,Nosema whitei,Protozoa,Microspora,Microsporea (Microsporida),Tribolium castaneum,Coleoptera,Tenebrionidae,,Fat body,Lab,"UK, Cosmopolitan",,,,,,7164,,
517,Nosema whitei,Protozoa,Microspora,Microsporea (Microsporida),Tribolium confusum,Coleoptera,Tenebrionidae,,fat body,Lab,"UK, Cosmopolitan",,,,,,7164,,
518,Nosema whitei,Protozoa,Microspora,Microsporea (Microsporida),Tribolium anaphe,Coleoptera,Tenebrionidae,,,,UK,,,,,,7164,,
519,Nosema whitei,Protozoa,Microspora,Microsporea (Microsporida),Oryzaephilus surinamensis,Coleoptera,Sylvanidae,,,,"UK, Cosmopolitan",,,,,,7164,,
520,Nosema whitei,Protozoa,Microspora,Microsporea (Microsporida),Tenebrio molitor,Coleoptera,Tenebrionidae,,,Lab,Cosmopolitan,,,,,,7164,,
521,Nosema zavreli,Protozoa,Microspora,Microsporea (Microsporida),Chironomus riparius,Diptera,Chironomidae,,Midgut,,Czechoslovakia,,,,,,7164,,
522,Nosema zwoelferi,Protozoa,Microspora,Microsporea (Microsporida),Eriogaster lanestris,Lepidoptera,Lasiocampidae,,Gut,,Czechoslovakia,,,,,,7164,,
523,Nosema sp.,Protozoa,Microspora,Microsporea (Microsporida),Euproctis subflava,Lepidoptera,Lymantriidae,,,,Japan,,,,,,7164,,
525,Nosema sp.,Protozoa,Microspora,Microsporea (Microsporida),Euxoa messoria,Lepidoptera,Noctuidae,Larva,fat body,Field,Canada,,,,,,7164,,Nearctic
526,Nosema sp.,Protozoa,Microspora,Microsporea (Microsporida),Samia cynthia,Lepidoptera,Saturniidae,,,,Japan,,,,,,7164,,
527,Nosema sp.,Protozoa,Microspora,Microsporea (Microsporida),Cydia strobilella,Lepidoptera,Tortricidae,,,,USA,,,,,,7164,,
528,Nosema sp.,Protozoa,Microspora,Microsporea (Microsporida),Pissodes piceae,Coleoptera,Curculionidae,,,,USSR,,,,,,7164,,
529,Nosema sp. ,Protozoa,Microspora,Microsporea (Microsporida),Mythimna correcta,Lepidoptera,Noctuidae,,,,,,,,,,7164,,
531,Nosema sp. ,Protozoa,Microspora,Microsporea (Microsporida),Pissodes strobi,Coleoptera,Curculionidae,LarvaAdult,Muscle; fat body,Field,"Canada, USA",,,,,,7164,,Nearctic
533,Nosema sp.,Protozoa,Microspora,Microsporea (Microsporida),Spodoptera mauritia acronyctoides,Lepidoptera,Noctuidae,,,,USA,,,,,,7164,,
534,Jirovecia brevicauda,Protozoa,Microspora,Microsporea (Microsporida),Chironomus plumosus,Diptera,Chironomidae,,fat body,,France,,,,,,7164,,
535,Jirovecia brevicauda,Protozoa,Microspora,Microsporea (Microsporida),Chironomus anthracinus,Diptera,Chironomidae,,,,Germany,,,,,,7164,,
536,Microsporidium calopterygis,Protozoa,Microspora,Microsporea (Microsporida),Calopteryx virgo,Odonata,Calopterygidae,Larva,fat body,Field,Czechoslovakia,,,,,,7164,,Palearctic
537,Microsporidium chapmani,Protozoa,Microspora,Microsporea (Microsporida),Culex territans,Diptera,Culicidae,,Gastric caeca; Midgut,,USA,,,,,,7164,,
